date,rain,temp,rhum,wdsp,wddir,msl,
08-dec-2021 00:00,0.4,4.6,83,23,290,980.2,
08-dec-2021 01:00,0.2,4.7,78,22,290,981.5,
08-dec-2021 02:00,0.2,4.6,80,21,290,982.9,
08-dec-2021 03:00,0.3,3.9,79,23,290,984.6,
08-dec-2021 04:00,0.3,3.7,84,23,290,985.8,
08-dec-2021 05:00,0.1,4.4,78,18,290,986.9,
08-dec-2021 06:00,0.0,5.4,63,18,290,987.9,
08-dec-2021 07:00,0.0,5.2,62,19,290,989.1,
08-dec-2021 08:00,0.0,5.2,66,18,300,990.3,
08-dec-2021 09:00,0.0,5.1,63,17,290,991.4,
08-dec-2021 10:00,0.0,6.0,60,15,290,992.3,
08-dec-2021 11:00,0.0,6.6,56,15,290,993.2,
08-dec-2021 12:00,0.0,7.4,55,14,280,994.0,
08-dec-2021 13:00,0.0,7.0,62,14,280,994.6,
08-dec-2021 14:00,0.0,7.3,54,16,290,995.8,
08-dec-2021 15:00,0.0,6.5,62,16,290,996.7,
08-dec-2021 16:00,0.0,5.4,63,13,300,997.7,
08-dec-2021 17:00,0.0,5.4,69,12,280,998.7,
08-dec-2021 18:00,0.0,4.5,73,8,250,999.7,
08-dec-2021 19:00,0.0,4.6,76,6,260,1000.8,
08-dec-2021 20:00,0.0,4.6,76,7,240,1001.3,
08-dec-2021 21:00,0.0,4.4,77,8,270,1001.4,
08-dec-2021 22:00,0.0,4.2,78,8,270,1001.6,
08-dec-2021 23:00,0.0,4.1,75,6,260,1002.3,